key,name,vertical,url,evidence
the-frankie-shop,The Frankie Shop,apparel,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b5bb9768e9a6502cb2_logo-the-frankie-shop.svg,case-study
maniere-de-voir,Manière de Voir,apparel,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b5de2be899666797a6_logo-maniere-de-voir.svg,logo-wall
colorful-standard,Colorful Standard,apparel,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b44e74689fc23ec201_logo-colorful-standard.svg,logo-wall
mud-jeans,MUD Jeans,apparel,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b5a9855cd97b385567_logo-mud-jeans.svg,logo-wall
doen,Dôen,apparel,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/682b40e60bba6b87ceceb33f_logo-white-doen.png,logo-wall
negative,Negative,apparel,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/68c2a14218d1c7c4a49a866f_logo-negative-white.svg,logo-wall
volcom,Volcom,apparel,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b688175de2cc92777b_logo-volcom.svg,logo-wall
allbirds,Allbirds,footwear,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b40e695993f1c11af4_logo-allbirds.svg,logo-wall
polene,Polène,accessories,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b5cef914c8b960824f_logo-pole%CC%80ne.svg,logo-wall
gorjana,gorjana,accessories,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/68c2a14037218e440d07b559_logo-gorjana-white.svg,logo-wall
fashion-eyewear,Fashion Eyewear,accessories,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b4290e132ae0b82784_logo-fashion-eyewear.svg,logo-wall
quad-lock,Quad Lock,accessories,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b53d4d9f709e9be5db_logo-quad-lock.svg,logo-wall
tiege-hanley,Tiege Hanley,beauty,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b65979a09ed8ec8162_logo-tiege-hanley.svg,case-study
canopy,Canopy,home,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b41b5e16ce1b4fda4e_logo-canopy.svg,case-study
joseph-and-joseph,Joseph Joseph,home,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b4aaba2a8df2e02435_logo-joseph-and-joseph.svg,case-study
modular-closets,Modular Closets,home,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b551abf228e52f8a69_logo-modular-closets.svg,case-study
yellowpop,Yellow Pop,home,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b63f2a590734bee03f_logo-yellowpop.svg,case-study
caba,CABA Design,home,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/68c2a1402495e6e426ebdeaa_logo-caba-white.svg,case-study
the-feed,The Feed,food,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b5d225a6c213810896_logo-the-feed.svg,case-study
armra,ARMRA,food,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/6825f0b67ce8440701b84409_logo-armra.svg,logo-wall
polar,Polar,brand,https://cdn.prod.website-files.com/5d41ab9d8cacf54c04df67c0/682c8fe566bb6b09ae68b3d3_Logo%20Polar%20only.png,own-brand
